Dato,CumNBRDose1,CumNbrDose2,NbrPersonsDose1,NbrPersonsDose2
5/28/2021,1653680,1020571,5028,32020
5/29/2021,1654307,1022659,627,2088
5/30/2021,1654446,1024273,139,1614
5/31/2021,1657561,1030873,3115,6600
6/1/2021,1676373,1053998,18812,23125
6/2/2021,1729437,1124223,53064,70225
6/3/2021,1784565,1182832,55128,58609
6/4/2021,1816170,1202401,31605,19569
6/5/2021,1819866,1203105,3696,704
6/6/2021,1822870,1203428,3004,323
6/7/2021,1838513,1206299,15643,2871
6/8/2021,1865702,1225625,27189,19326
6/9/2021,1905918,1286091,40216,60466
6/10/2021,1945682,1341428,39764,55337
6/11/2021,1967281,1362348,21599,20920
6/12/2021,1970362,1363176,3081,828
6/13/2021,1972597,1363840,2235,664
6/14/2021,1992074,1366388,19477,2548
6/15/2021,2021149,1376845,29075,10457
6/16/2021,2085710,1417844,64561,40999
6/17/2021,2145168,1450417,59458,32573
6/18/2021,2176897,1462683,31729,12266
6/19/2021,2183135,1463335,6238,652
6/20/2021,2187464,1463418,4329,83
6/21/2021,2205015,1466097,17551,2679
6/22/2021,2242021,1479198,37006,13101
6/23/2021,2319713,1511176,77692,31978
6/24/2021,2410712,1532840,90999,21664
6/25/2021,2455214,1542139,44502,9299
6/26/2021,2463696,1543744,8482,1605
6/27/2021,2468138,1544942,4442,1198
6/28/2021,2499820,1546056,31682,1114
6/29/2021,2547323,1549202,47503,3146
6/30/2021,2650999,1555576,103676,6374
7/1/2021,2730836,1561843,79837,6267
